,CIDADE,TEMPERATURA MÉDIA,ALT(M),LAT (º DEC.),LONG (ºdec),MÊS,ANO
1168,Carinhanha,25.5,455.3,14.3,43.8,10,2010
1169,Carinhanha,23.3,455.3,14.3,43.8,5,2006
1170,Carinhanha,24.5,455.3,14.3,43.8,6,2015
1171,Carinhanha,26.2,455.3,14.3,43.8,4,2001
1172,Carinhanha,26.4,455.3,14.3,43.8,11,2008
1173,Carinhanha,25.4,455.3,14.3,43.8,5,2003
1174,Carinhanha,28.4,455.3,14.3,43.8,11,2007
1175,Carinhanha,27.9,455.3,14.3,43.8,11,2015
1176,Carinhanha,26.5,455.3,14.3,43.8,2,2003
1177,Carinhanha,25.5,455.3,14.3,43.8,11,2000
1178,Carinhanha,25.6,455.3,14.3,43.8,5,2010
1179,Carinhanha,27.4,455.3,14.3,43.8,4,2015
1180,Carinhanha,23.8,455.3,14.3,43.8,8,2007
1181,Carinhanha,24.8,455.3,14.3,43.8,4,2004
1182,Carinhanha,24.4,455.3,14.3,43.8,8,2001
1183,Carinhanha,27.6,455.3,14.3,43.8,3,2019
1184,Carinhanha,24.7,455.3,14.3,43.8,8,2000
1185,Carinhanha,27.0,455.3,14.3,43.8,10,2009
1186,Carinhanha,24.9,455.3,14.3,43.8,6,2013
1187,Carinhanha,30.2,455.3,14.3,43.8,12,2015
1188,Carinhanha,26.3,455.3,14.3,43.8,12,2004
1189,Carinhanha,26.1,455.3,14.3,43.8,4,2018
1190,Carinhanha,28.1,455.3,14.3,43.8,1,2018
1191,Carinhanha,26.6,455.3,14.3,43.8,1,2006
1192,Carinhanha,24.6,455.3,14.3,43.8,5,2005
1193,Carinhanha,25.6,455.3,14.3,43.8,5,2012
1194,Carinhanha,28.9,455.3,14.3,43.8,10,2005
1195,Carinhanha,24.1,455.3,14.3,43.8,7,2002
1196,Carinhanha,23.0,455.3,14.3,43.8,7,1999
1197,Carinhanha,26.7,455.3,14.3,43.8,10,2006
1198,Carinhanha,25.8,455.3,14.3,43.8,9,2004
1199,Carinhanha,25.6,455.3,14.3,43.8,1,2011
1200,Carinhanha,27.7,455.3,14.3,43.8,1,2015
1201,Carinhanha,24.5,455.3,14.3,43.8,12,2000
1202,Carinhanha,25.7,455.3,14.3,43.8,2,2008
1203,Carinhanha,25.5,455.3,14.3,43.8,9,1999
1204,Carinhanha,27.1,455.3,14.3,43.8,3,2009
1205,Carinhanha,25.2,455.3,14.3,43.8,12,2005
1206,Carinhanha,22.2,455.3,14.3,43.8,7,2008
1207,Carinhanha,27.7,455.3,14.3,43.8,11,2013
1208,Carinhanha,26.5,455.3,14.3,43.8,11,2009
1209,Carinhanha,27.7,455.3,14.3,43.8,12,2003
1210,Carinhanha,24.7,455.3,14.3,43.8,5,2004
1211,Carinhanha,29.1,455.3,14.3,43.8,11,2019
1212,Carinhanha,27.1,455.3,14.3,43.8,9,2012
1213,Carinhanha,23.9,455.3,14.3,43.8,7,2001
1214,Carinhanha,25.4,455.3,14.3,43.8,12,2009
1215,Carinhanha,25.6,455.3,14.3,43.8,1,2012
1216,Carinhanha,28.2,455.3,14.3,43.8,10,2019
1217,Carinhanha,26.2,455.3,14.3,43.8,11,2001
1218,Carinhanha,27.4,455.3,14.3,43.8,3,2012
1219,Carinhanha,26.0,455.3,14.3,43.8,5,2017
1220,Carinhanha,26.6,455.3,14.3,43.8,4,2019
1221,Carinhanha,26.8,455.3,14.3,43.8,11,2017
1222,Carinhanha,26.7,455.3,14.3,43.8,3,2014
1223,Carinhanha,25.7,455.3,14.3,43.8,1,2003
1224,Carinhanha,25.6,455.3,14.3,43.8,1,2009
1225,Carinhanha,23.2,455.3,14.3,43.8,6,2008
1226,Carinhanha,25.8,455.3,14.3,43.8,5,2001
1227,Carinhanha,24.5,455.3,14.3,43.8,5,1999
1228,Carinhanha,29.2,455.3,14.3,43.8,10,2017
1229,Carinhanha,26.4,455.3,14.3,43.8,5,2016
1230,Carinhanha,24.8,455.3,14.3,43.8,8,2014
1231,Carinhanha,25.2,455.3,14.3,43.8,2,2002
1232,Carinhanha,25.0,455.3,14.3,43.8,11,2012
1233,Carinhanha,24.0,455.3,14.3,43.8,7,2014
1234,Carinhanha,26.0,455.3,14.3,43.8,9,2000
1235,Carinhanha,23.4,455.3,14.3,43.8,6,2003
1236,Carinhanha,26.4,455.3,14.3,43.8,1,2013
1237,Carinhanha,24.8,455.3,14.3,43.8,4,2009
1238,Carinhanha,26.4,455.3,14.3,43.8,4,2014
1239,Cipó,27.8,143.5,11.1,38.5,12,2019
1240,Cipó,24.0,143.5,11.1,38.5,9,2008
1241,Cipó,27.6,143.5,11.1,38.5,12,2004
1242,Cipó,24.8,143.5,11.1,38.5,5,2000
1243,Cipó,27.1,143.5,11.1,38.5,12,2017
1244,Cipó,23.8,143.5,11.1,38.5,9,2004
1245,Cipó,27.0,143.5,11.1,38.5,12,2005
1246,Cipó,26.7,143.5,11.1,38.5,4,2012
1247,Cipó,27.1,143.5,11.1,38.5,12,2018
1248,Cipó,24.3,143.5,11.1,38.5,9,2012
1249,Cipó,25.0,143.5,11.1,38.5,10,2014
1250,Cipó,27.3,143.5,11.1,38.5,12,2008
1251,Cipó,26.1,143.5,11.1,38.5,11,2014
1252,Cipó,22.7,143.5,11.1,38.5,8,2013
1253,Cipó,28.0,143.5,11.1,38.5,2,2010
1254,Cipó,26.2,143.5,11.1,38.5,10,2010
1255,Cipó,26.7,143.5,11.1,38.5,3,2014
1256,Cipó,28.2,143.5,11.1,38.5,12,2009
1257,Cipó,25.9,143.5,11.1,38.5,11,1999
1258,Cipó,25.7,143.5,11.1,38.5,5,2015
1259,Cipó,25.4,143.5,11.1,38.5,11,2011
1260,Cipó,26.7,143.5,11.1,38.5,12,2013
1261,Cipó,26.1,143.5,11.1,38.5,11,2000
1262,Cipó,26.8,143.5,11.1,38.5,11,2001
1263,Cipó,26.1,143.5,11.1,38.5,4,2007
1264,Cipó,23.3,143.5,11.1,38.5,6,2004
1265,Cipó,24.8,143.5,11.1,38.5,5,2018
1266,Cipó,25.1,143.5,11.1,38.5,5,2013
1267,Cipó,23.4,143.5,11.1,38.5,6,2001
1268,Cipó,26.8,143.5,11.1,38.5,10,2018
1269,Cipó,23.4,143.5,11.1,38.5,8,2017
1270,Cipó,27.1,143.5,11.1,38.5,12,2003
1271,Cipó,27.1,143.5,11.1,38.5,2,2016
1272,Cipó,27.5,143.5,11.1,38.5,12,2002
1273,Cipó,27.2,143.5,11.1,38.5,2,2009
1274,Cipó,24.7,143.5,11.1,38.5,9,2005
1275,Cipó,27.0,143.5,11.1,38.5,4,2016
1276,Cipó,24.9,143.5,11.1,38.5,5,2006
1277,Cipó,27.3,143.5,11.1,38.5,4,1999
1278,Cipó,25.0,143.5,11.1,38.5,10,2013
1279,Cipó,27.4,143.5,11.1,38.5,2,2008
1280,Cipó,26.0,143.5,11.1,38.5,11,2013
1281,Cipó,23.9,143.5,11.1,38.5,9,2006
1282,Cipó,24.3,143.5,11.1,38.5,6,2012
1283,Cipó,25.3,143.5,11.1,38.5,9,2009
1284,Cipó,23.2,143.5,11.1,38.5,8,2000
1285,Cipó,26.6,143.5,11.1,38.5,2,2014
1286,Cipó,27.8,143.5,11.1,38.5,1,2013
1287,Cipó,26.0,143.5,11.1,38.5,4,2000
1288,Cipó,22.7,143.5,11.1,38.5,7,2014
1289,Cipó,27.7,143.5,11.1,38.5,3,2003
1290,Cipó,23.5,143.5,11.1,38.5,8,2011
1291,Cipó,24.1,143.5,11.1,38.5,9,2003
1292,Cipó,27.4,143.5,11.1,38.5,2,2011
1293,Cipó,26.8,143.5,11.1,38.5,3,2000
1294,Cipó,25.2,143.5,11.1,38.5,10,2012
1295,Cipó,22.8,143.5,11.1,38.5,7,2013
1296,Cipó,23.0,143.5,11.1,38.5,7,2001
1297,Cipó,26.8,143.5,11.1,38.5,3,2012
1298,Cipó,25.5,143.5,11.1,38.5,10,2000
1299,Cipó,26.1,143.5,11.1,38.5,2,2002
1300,Cipó,26.4,143.5,11.1,38.5,4,2008
1301,Cipó,23.8,143.5,11.1,38.5,9,2000
1302,Cipó,23.4,143.5,11.1,38.5,6,2002
1303,Cipó,26.7,143.5,11.1,38.5,1,2014
1304,Cipó,22.4,143.5,11.1,38.5,8,2007
1305,Cipó,22.3,143.5,11.1,38.5,8,2010
1306,Cipó,23.5,143.5,11.1,38.5,6,2015
1307,Cipó,24.6,143.5,11.1,38.5,9,2016
1308,Cipó,28.3,143.5,11.1,38.5,3,2013
1309,Cipó,25.8,143.5,11.1,38.5,5,2010
1310,Cipó,26.1,143.5,11.1,38.5,12,2000
1311,Cipó,26.4,143.5,11.1,38.5,2,2004
1312,Cipó,22.6,143.5,11.1,38.5,7,2003
1313,Cipó,27.6,143.5,11.1,38.5,2,2001
1314,Cipó,22.9,143.5,11.1,38.5,7,2016
1315,Cipó,22.7,143.5,11.1,38.5,8,2014
1316,Cipó,23.9,143.5,11.1,38.5,6,2016
1317,Cipó,22.8,143.5,11.1,38.5,7,1999
1318,Cipó,26.8,143.5,11.1,38.5,2,2000
1319,Cipó,27.5,143.5,11.1,38.5,12,2006
1320,Cipó,27.5,143.5,11.1,38.5,4,2019
1321,Cipó,22.9,143.5,11.1,38.5,7,2010
1322,Cipó,25.8,143.5,11.1,38.5,11,2003
1323,Cipó,24.6,143.5,11.1,38.5,10,1999
1324,Cipó,27.4,143.5,11.1,38.5,2,2003
1325,Cipó,27.6,143.5,11.1,38.5,3,2018
1326,Cipó,24.8,143.5,11.1,38.5,5,2014
1327,Cipó,26.5,143.5,11.1,38.5,4,2017
1328,Cipó,22.0,143.5,11.1,38.5,7,2008
1329,Cipó,26.2,143.5,11.1,38.5,4,2002
1330,Cipó,27.2,143.5,11.1,38.5,3,2001
1331,Cipó,26.5,143.5,11.1,38.5,1,2004
1332,Cipó,25.9,143.5,11.1,38.5,4,2001
1333,Cipó,23.7,143.5,11.1,38.5,6,1999
1334,Cipó,26.9,143.5,11.1,38.5,11,2010
1335,Cipó,23.0,143.5,11.1,38.5,7,2015
1336,Cipó,28.2,143.5,11.1,38.5,1,2003
1337,Cipó,26.9,143.5,11.1,38.5,12,2011
1338,Cipó,23.3,143.5,11.1,38.5,8,2019
1339,Cipó,23.1,143.5,11.1,38.5,7,2012
1340,Cipó,27.6,143.5,11.1,38.5,1,2017
1341,Cipó,27.5,143.5,11.1,38.5,12,2016
1342,Cipó,27.2,143.5,11.1,38.5,1,2016
1343,Cipó,25.4,143.5,11.1,38.5,10,2006
1344,Cipó,23.9,143.5,11.1,38.5,6,2010
1345,Cipó,22.1,143.5,11.1,38.5,7,2006
1346,Cipó,25.1,143.5,11.1,38.5,5,2009
1347,Cipó,26.2,143.5,11.1,38.5,12,2014
1348,Cipó,23.1,143.5,11.1,38.5,9,1999
1349,Cipó,27.8,143.5,11.1,38.5,4,2009
1350,Cipó,28.2,143.5,11.1,38.5,3,2011
1351,Cipó,27.5,143.5,11.1,38.5,3,2015
1352,Cipó,27.9,143.5,11.1,38.5,1,2010
1353,Cipó,26.6,143.5,11.1,38.5,3,2004
1354,Cipó,26.8,143.5,11.1,38.5,11,2017
1355,Cipó,22.6,143.5,11.1,38.5,7,2000
1356,Cipó,22.8,143.5,11.1,38.5,8,2012
1357,Cipó,24.7,143.5,11.1,38.5,10,2017
1358,Cipó,27.5,143.5,11.1,38.5,12,2010
1359,Cipó,28.8,143.5,11.1,38.5,2,2019
1360,Cipó,23.7,143.5,11.1,38.5,9,2013
1361,Cipó,25.5,143.5,11.1,38.5,10,2008
1362,Cipó,24.8,143.5,11.1,38.5,5,2011
1363,Cipó,27.6,143.5,11.1,38.5,12,2015
1364,Cipó,26.3,143.5,11.1,38.5,4,2010
1365,Cipó,26.7,143.5,11.1,38.5,3,2002
1366,Cipó,23.4,143.5,11.1,38.5,8,2009
1367,Cipó,24.1,143.5,11.1,38.5,6,2013
1368,Cipó,26.3,143.5,11.1,38.5,4,2004
1369,Cipó,28.1,143.5,11.1,38.5,1,2007
1370,Cipó,26.0,143.5,11.1,38.5,10,2002
1371,Cipó,25.5,143.5,11.1,38.5,5,1999
1372,Cipó,26.4,143.5,11.1,38.5,2,2012
1373,Cipó,27.8,143.5,11.1,38.5,1,2019
1374,Cipó,25.8,143.5,11.1,38.5,1,2002
1375,Cipó,22.4,143.5,11.1,38.5,7,2005
1376,Cipó,28.6,143.5,11.1,38.5,2,2006
1377,Cipó,23.4,143.5,11.1,38.5,8,2016
1378,Cipó,23.1,143.5,11.1,38.5,8,2002
1379,Cipó,26.5,143.5,11.1,38.5,10,2019
1380,Cipó,26.9,143.5,11.1,38.5,11,2002
1381,Cipó,25.5,143.5,11.1,38.5,10,2001
1382,Cipó,27.1,143.5,11.1,38.5,1,2000
1383,Cipó,22.6,143.5,11.1,38.5,7,2004
1384,Cipó,26.1,143.5,11.1,38.5,4,2005
1385,Cipó,27.4,143.5,11.1,38.5,4,2015
1386,Cipó,27.1,143.5,11.1,38.5,3,2008
1387,Cipó,27.8,143.5,11.1,38.5,3,2019
1388,Cipó,23.4,143.5,11.1,38.5,6,2005
1389,Cipó,24.9,143.5,11.1,38.5,5,2005
1390,Cipó,27.7,143.5,11.1,38.5,2,2017
1391,Cipó,27.4,143.5,11.1,38.5,2,2007
1392,Cipó,26.7,143.5,11.1,38.5,12,1999
1393,Cipó,23.4,143.5,11.1,38.5,6,2011
1394,Cipó,22.4,143.5,11.1,38.5,8,2006
1395,Cipó,26.4,143.5,11.1,38.5,4,2011
1396,Cipó,24.1,143.5,11.1,38.5,8,2018
1397,Cipó,24.5,143.5,11.1,38.5,5,2007
1398,Cipó,26.6,143.5,11.1,38.5,11,2007
1399,Cipó,23.6,143.5,11.1,38.5,7,2009
1400,Cipó,28.3,143.5,11.1,38.5,3,2006
1401,Cipó,24.9,143.5,11.1,38.5,9,2019
1402,Cipó,25.3,143.5,11.1,38.5,5,2016
1403,Cipó,26.5,143.5,11.1,38.5,5,2019
1404,Cipó,26.0,143.5,11.1,38.5,5,2001
1405,Cipó,26.1,143.5,11.1,38.5,10,2004
1406,Cipó,24.6,143.5,11.1,38.5,5,2004
1407,Cipó,22.2,143.5,11.1,38.5,8,2001
1408,Cipó,27.8,143.5,11.1,38.5,3,2016
1409,Cipó,22.9,143.5,11.1,38.5,6,2008
1410,Cipó,27.3,143.5,11.1,38.5,1,2018
1411,Cipó,23.1,143.5,11.1,38.5,6,2007
1412,Cipó,23.4,143.5,11.1,38.5,9,2010
1413,Cipó,27.8,143.5,11.1,38.5,11,2015
1414,Cipó,27.4,143.5,11.1,38.5,11,2009
1415,Cipó,28.4,143.5,11.1,38.5,3,2009
1416,Correntina,26.8,551.7,13.3,44.6,12,2019
1417,Correntina,25.1,551.7,13.3,44.6,2,2003
1418,Correntina,21.4,551.7,13.3,44.6,7,2010
1419,Correntina,25.2,551.7,13.3,44.6,3,2015
1420,Correntina,24.8,551.7,13.3,44.6,3,2003
1421,Correntina,24.9,551.7,13.3,44.6,1,2005
1422,Correntina,26.5,551.7,13.3,44.6,10,2014
1423,Correntina,23.9,551.7,13.3,44.6,8,2003
1424,Correntina,22.8,551.7,13.3,44.6,8,2004
1425,Correntina,23.8,551.7,13.3,44.6,12,1999
1426,Correntina,25.6,551.7,13.3,44.6,12,2017
1427,Correntina,21.4,551.7,13.3,44.6,6,2008
1428,Correntina,25.3,551.7,13.3,44.6,9,2000
1429,Correntina,22.9,551.7,13.3,44.6,8,2014
1430,Correntina,24.7,551.7,13.3,44.6,12,2007
1431,Correntina,24.3,551.7,13.3,44.6,11,2006
1432,Correntina,24.4,551.7,13.3,44.6,1,2014
1433,Correntina,26.7,551.7,13.3,44.6,9,2001
1434,Correntina,26.7,551.7,13.3,44.6,3,2016
1435,Correntina,25.8,551.7,13.3,44.6,9,2016
1436,Correntina,26.6,551.7,13.3,44.6,10,2005
1437,Correntina,27.3,551.7,13.3,44.6,11,2019
1438,Correntina,23.0,551.7,13.3,44.6,6,2002
1439,Correntina,24.3,551.7,13.3,44.6,3,2000
1440,Correntina,22.4,551.7,13.3,44.6,8,2015
1441,Correntina,23.8,551.7,13.3,44.6,12,2005
1442,Correntina,24.5,551.7,13.3,44.6,3,2005
1443,Correntina,21.7,551.7,13.3,44.6,8,2010
1444,Correntina,25.8,551.7,13.3,44.6,11,2014
1445,Correntina,24.0,551.7,13.3,44.6,3,2011
1446,Correntina,25.3,551.7,13.3,44.6,2,2006
1447,Correntina,21.5,551.7,13.3,44.6,6,2015
1448,Correntina,25.0,551.7,13.3,44.6,4,2001
1449,Correntina,25.5,551.7,13.3,44.6,2,2016
1450,Correntina,23.6,551.7,13.3,44.6,5,2018
1451,Correntina,24.0,551.7,13.3,44.6,5,2004
1452,Correntina,21.3,551.7,13.3,44.6,7,2009
1453,Correntina,26.4,551.7,13.3,44.6,9,2018
1454,Correntina,22.4,551.7,13.3,44.6,7,2000
1455,Correntina,24.5,551.7,13.3,44.6,2,2014
1456,Correntina,25.5,551.7,13.3,44.6,11,2017
1457,Correntina,28.1,551.7,13.3,44.6,10,2002
1458,Correntina,24.4,551.7,13.3,44.6,12,2008
1459,Correntina,22.4,551.7,13.3,44.6,6,2019
1460,Correntina,27.3,551.7,13.3,44.6,12,2015
1461,Correntina,24.2,551.7,13.3,44.6,4,2007
1462,Correntina,24.6,551.7,13.3,44.6,8,2016
1463,Correntina,21.9,551.7,13.3,44.6,6,2007
1464,Correntina,25.5,551.7,13.3,44.6,12,2016
1465,Correntina,25.7,551.7,13.3,44.6,10,2011
1466,Correntina,26.7,551.7,13.3,44.6,10,2001
1467,Correntina,21.8,551.7,13.3,44.6,6,2000
1468,Correntina,22.1,551.7,13.3,44.6,5,1999
1469,Correntina,25.9,551.7,13.3,44.6,3,2017
1470,Correntina,24.7,551.7,13.3,44.6,12,2014
1471,Correntina,25.3,551.7,13.3,44.6,9,1999
1472,Correntina,24.0,551.7,13.3,44.6,5,2003
1473,Correntina,21.2,551.7,13.3,44.6,7,2012
1474,Correntina,21.2,551.7,13.3,44.6,6,2010
1475,Correntina,24.6,551.7,13.3,44.6,1,2016
1476,Correntina,21.3,551.7,13.3,44.6,7,2011
1477,Correntina,24.7,551.7,13.3,44.6,1,2004
1478,Correntina,25.1,551.7,13.3,44.6,4,2017
1479,Correntina,24.9,551.7,13.3,44.6,4,2003
1480,Correntina,21.2,551.7,13.3,44.6,6,2009
1481,Correntina,26.1,551.7,13.3,44.6,3,2002
1482,Correntina,21.6,551.7,13.3,44.6,6,1999
1483,Correntina,24.7,551.7,13.3,44.6,3,2014
1484,Correntina,25.7,551.7,13.3,44.6,1,2018
1485,Correntina,25.0,551.7,13.3,44.6,3,2018
1486,Correntina,24.9,551.7,13.3,44.6,12,2004
1487,Correntina,24.5,551.7,13.3,44.6,1,2008
1488,Correntina,24.8,551.7,13.3,44.6,11,2010
1489,Correntina,24.8,551.7,13.3,44.6,4,2015
1490,Correntina,24.2,551.7,13.3,44.6,12,2018
1491,Correntina,23.0,551.7,13.3,44.6,8,2008
1492,Correntina,24.2,551.7,13.3,44.6,2,2000
1493,Correntina,20.8,551.7,13.3,44.6,7,2006
1494,Correntina,26.0,551.7,13.3,44.6,10,2013
1495,Correntina,25.4,551.7,13.3,44.6,2,2013
1496,Correntina,23.7,551.7,13.3,44.6,3,1999
1497,Correntina,27.8,551.7,13.3,44.6,10,2015
1498,Correntina,26.1,551.7,13.3,44.6,2,2019
1499,Correntina,23.2,551.7,13.3,44.6,8,2009
1500,Correntina,20.7,551.7,13.3,44.6,7,2005
1501,Correntina,25.6,551.7,13.3,44.6,1,2007
1502,Correntina,23.1,551.7,13.3,44.6,8,2011
1503,Correntina,25.9,551.7,13.3,44.6,9,2002
1504,Correntina,23.7,551.7,13.3,44.6,4,2011
1505,Correntina,24.8,551.7,13.3,44.6,2,2018
1506,Correntina,23.8,551.7,13.3,44.6,2,1999
1507,Correntina,24.9,551.7,13.3,44.6,5,2001
1508,Correntina,24.1,551.7,13.3,44.6,4,2012
1509,Correntina,26.2,551.7,13.3,44.6,9,2013
1510,Correntina,24.5,551.7,13.3,44.6,2,2005
1511,Correntina,22.9,551.7,13.3,44.6,7,2001
1512,Correntina,23.7,551.7,13.3,44.6,4,2009
1513,Correntina,26.0,551.7,13.3,44.6,11,2016
1514,Correntina,22.3,551.7,13.3,44.6,5,2005
1515,Correntina,26.7,551.7,13.3,44.6,1,2017
1516,Correntina,24.2,551.7,13.3,44.6,2,2011
1517,Correntina,21.5,551.7,13.3,44.6,7,2018
1518,Correntina,22.2,551.7,13.3,44.6,5,2011
1519,Correntina,22.5,551.7,13.3,44.6,6,2012
1520,Correntina,27.0,551.7,13.3,44.6,10,2010
1521,Correntina,25.4,551.7,13.3,44.6,11,2005
1522,Correntina,23.8,551.7,13.3,44.6,11,1999
1523,Correntina,21.7,551.7,13.3,44.6,7,2019
1524,Correntina,22.7,551.7,13.3,44.6,5,2015
1525,Correntina,24.0,551.7,13.3,44.6,1,2011
1526,Correntina,24.4,551.7,13.3,44.6,1,2010
1527,Correntina,25.4,551.7,13.3,44.6,4,2002
1528,Correntina,25.0,551.7,13.3,44.6,1,2013
1529,Correntina,26.0,551.7,13.3,44.6,9,2003
1530,Correntina,24.8,551.7,13.3,44.6,2,2017
1531,Correntina,24.8,551.7,13.3,44.6,9,2017
1532,Correntina,25.2,551.7,13.3,44.6,3,2009
1533,Correntina,24.1,551.7,13.3,44.6,3,2007
1534,Correntina,27.3,551.7,13.3,44.6,10,2008
1535,Correntina,22.3,551.7,13.3,44.6,7,2016
1536,Correntina,25.3,551.7,13.3,44.6,12,2001
1537,Correntina,21.4,551.7,13.3,44.6,7,2004
1538,Correntina,25.6,551.7,13.3,44.6,3,2019
1539,Correntina,24.5,551.7,13.3,44.6,1,2009
1540,Correntina,25.9,551.7,13.3,44.6,10,2009
1541,Correntina,20.5,551.7,13.3,44.6,7,2008
1542,Correntina,22.9,551.7,13.3,44.6,5,2008
1543,Correntina,23.7,551.7,13.3,44.6,4,2006
1544,Correntina,24.2,551.7,13.3,44.6,4,2014
1545,Correntina,22.8,551.7,13.3,44.6,8,2005
1546,Correntina,24.6,551.7,13.3,44.6,1,2001
1547,Correntina,22.2,551.7,13.3,44.6,6,2018
1548,Correntina,26.5,551.7,13.3,44.6,10,2000
1549,Correntina,24.2,551.7,13.3,44.6,5,2002
1550,Correntina,21.8,551.7,13.3,44.6,5,2009
1551,Correntina,24.7,551.7,13.3,44.6,5,2019
1552,Correntina,25.0,551.7,13.3,44.6,2,2008
1553,Correntina,26.2,551.7,13.3,44.6,10,2006
1554,Correntina,21.4,551.7,13.3,44.6,7,2017
1555,Correntina,24.7,551.7,13.3,44.6,11,2018
1556,Correntina,24.2,551.7,13.3,44.6,1,2000
1557,Correntina,25.5,551.7,13.3,44.6,1,2019
1558,Correntina,23.9,551.7,13.3,44.6,5,2007
1559,Correntina,23.1,551.7,13.3,44.6,8,2013
1560,Correntina,22.3,551.7,13.3,44.6,8,2006
1561,Correntina,26.5,551.7,13.3,44.6,9,2009
1562,Correntina,24.6,551.7,13.3,44.6,8,2018
1563,Correntina,24.6,551.7,13.3,44.6,3,2012
1564,Correntina,25.5,551.7,13.3,44.6,11,2004
1565,Correntina,23.7,551.7,13.3,44.6,2,2012
1566,Correntina,24.5,551.7,13.3,44.6,12,2010
1567,Correntina,25.5,551.7,13.3,44.6,9,2005
1568,Correntina,25.9,551.7,13.3,44.6,2,2001
1569,Correntina,24.9,551.7,13.3,44.6,11,2000
1570,Correntina,24.3,551.7,13.3,44.6,9,2010
1571,Correntina,23.2,551.7,13.3,44.6,6,2001
1572,Correntina,25.2,551.7,13.3,44.6,1,2002
1573,Correntina,23.3,551.7,13.3,44.6,5,2012
1574,Correntina,22.1,551.7,13.3,44.6,7,2015
1575,Correntina,23.5,551.7,13.3,44.6,4,2010
1576,Correntina,26.5,551.7,13.3,44.6,11,2002
1577,Correntina,25.1,551.7,13.3,44.6,11,2013
1578,Correntina,22.3,551.7,13.3,44.6,7,2014
1579,Correntina,24.5,551.7,13.3,44.6,4,2000
1580,Correntina,24.3,551.7,13.3,44.6,12,2009
1581,Correntina,21.8,551.7,13.3,44.6,6,2004
1582,Correntina,25.6,551.7,13.3,44.6,3,2013
1583,Correntina,25.4,551.7,13.3,44.6,12,2012
1584,Correntina,23.8,551.7,13.3,44.6,12,2011
1585,Correntina,20.4,551.7,13.3,44.6,6,2006
1586,Correntina,24.6,551.7,13.3,44.6,3,2010
1587,Correntina,24.0,551.7,13.3,44.6,4,2005
1588,Correntina,21.4,551.7,13.3,44.6,7,2007
1589,Correntina,23.6,551.7,13.3,44.6,8,2019
1590,Correntina,24.1,551.7,13.3,44.6,4,2018
1591,Correntina,24.0,551.7,13.3,44.6,2,2007
1592,Correntina,22.7,551.7,13.3,44.6,7,1999
1593,Cruz das Almas,25.7,219.7,12.7,39.1,12,2019
1594,Cruz das Almas,25.0,219.7,12.7,39.1,1,2002
1595,Cruz das Almas,25.6,219.7,12.7,39.1,2,2005
1596,Cruz das Almas,20.6,219.7,12.7,39.1,7,2005
1597,Cruz das Almas,26.1,219.7,12.7,39.1,12,2002
1598,Cruz das Almas,21.5,219.7,12.7,39.1,7,2018
1599,Cruz das Almas,25.2,219.7,12.7,39.1,1,2008
1600,Cruz das Almas,25.9,219.7,12.7,39.1,2,2018
1601,Cruz das Almas,24.0,219.7,12.7,39.1,10,2000
1602,Cruz das Almas,25.4,219.7,12.7,39.1,12,2013
1603,Cruz das Almas,20.3,219.7,12.7,39.1,8,2007
1604,Cruz das Almas,23.3,219.7,12.7,39.1,10,2006
1605,Cruz das Almas,25.4,219.7,12.7,39.1,4,2003
1606,Cruz das Almas,22.0,219.7,12.7,39.1,7,2015
1607,Cruz das Almas,22.4,219.7,12.7,39.1,9,2000
1608,Cruz das Almas,24.5,219.7,12.7,39.1,10,2010
1609,Cruz das Almas,21.8,219.7,12.7,39.1,8,2002
1610,Cruz das Almas,23.5,219.7,12.7,39.1,5,2002
1611,Cruz das Almas,25.8,219.7,12.7,39.1,2,2013
1612,Cruz das Almas,23.8,219.7,12.7,39.1,11,1999
1613,Cruz das Almas,22.4,219.7,12.7,39.1,9,2008
1614,Cruz das Almas,25.8,219.7,12.7,39.1,1,1999
1615,Cruz das Almas,22.6,219.7,12.7,39.1,6,2013
1616,Cruz das Almas,26.5,219.7,12.7,39.1,12,2009
1617,Cruz das Almas,25.4,219.7,12.7,39.1,3,2012
1618,Cruz das Almas,23.6,219.7,12.7,39.1,5,2016
1619,Cruz das Almas,25.1,219.7,12.7,39.1,1,2014
1620,Cruz das Almas,23.9,219.7,12.7,39.1,5,2003
1621,Cruz das Almas,22.0,219.7,12.7,39.1,7,2002
1622,Cruz das Almas,26.6,219.7,12.7,39.1,2,2010
1623,Cruz das Almas,24.2,219.7,12.7,39.1,5,2010
1624,Cruz das Almas,24.1,219.7,12.7,39.1,10,2005
1625,Cruz das Almas,23.9,219.7,12.7,39.1,10,2019
1626,Cruz das Almas,20.5,219.7,12.7,39.1,7,2008
1627,Cruz das Almas,25.0,219.7,12.7,39.1,11,2000
1628,Cruz das Almas,25.8,219.7,12.7,39.1,12,2010
1629,Cruz das Almas,24.5,219.7,12.7,39.1,11,2003
1630,Cruz das Almas,25.6,219.7,12.7,39.1,11,2010
1631,Cruz das Almas,26.3,219.7,12.7,39.1,12,2015
1632,Cruz das Almas,22.2,219.7,12.7,39.1,9,2006
1633,Cruz das Almas,21.3,219.7,12.7,39.1,8,2008
1634,Cruz das Almas,24.0,219.7,12.7,39.1,11,2006
1635,Cruz das Almas,25.2,219.7,12.7,39.1,4,2016
1636,Cruz das Almas,24.8,219.7,12.7,39.1,4,2004
