CIDADE,TEMPERATURA MÉDIA,ALT(M),LAT (º DEC.),LONG (ºdec),MÊS,ANO,,,,,
BOM JESUS DA LAPA,"24,2","447,8","13,3","43,4",5,2009,,,,,
BOM JESUS DA LAPA,"23,9","447,8","13,3","43,4",6,2009,,,,,
BOM JESUS DA LAPA,"24,9","447,8","13,3","43,4",7,2009,,,,,
BOM JESUS DA LAPA,"26,1","447,8","13,3","43,4",8,2009,,,,,
BOM JESUS DA LAPA,"27,5","447,8","13,3","43,4",9,2009,,,,,
BOM JESUS DA LAPA,"28,2","447,8","13,3","43,4",10,2009,,,,,
BOM JESUS DA LAPA,"27,6","447,8","13,3","43,4",11,2009,,,,,
BOM JESUS DA LAPA,"26,5","447,8","13,3","43,4",12,2009,,,,,
BOM JESUS DA LAPA,"27,3","447,8","13,3","43,4",1,2010,,,,,
BOM JESUS DA LAPA,"28,1","447,8","13,3","43,4",2,2010,,,,,
BOM JESUS DA LAPA,"26,3","447,8","13,3","43,4",3,2010,,,,,
BOM JESUS DA LAPA,"25,6","447,8","13,3","43,4",4,2010,,,,,
BOM JESUS DA LAPA,"26,5","447,8","13,3","43,4",5,2010,,,,,
BOM JESUS DA LAPA,"24,2","447,8","13,3","43,4",6,2010,,,,,
BOM JESUS DA LAPA,"24,5","447,8","13,3","43,4",7,2010,,,,,
BOM JESUS DA LAPA,"25,1","447,8","13,3","43,4",8,2010,,,,,
BOM JESUS DA LAPA,"27,4","447,8","13,3","43,4",9,2010,,,,,
BOM JESUS DA LAPA,"29,6","447,8","13,3","43,4",10,2010,,,,,
BOM JESUS DA LAPA,"26,9","447,8","13,3","43,4",11,2010,,,,,
BOM JESUS DA LAPA,"26,3","447,8","13,3","43,4",12,2010,,,,,
BOM JESUS DA LAPA,"26,1","447,8","13,3","43,4",1,2011,,,,,
BOM JESUS DA LAPA,"27,1","447,8","13,3","43,4",2,2011,,,,,
BOM JESUS DA LAPA,"25,7","447,8","13,3","43,4",3,2011,,,,,
BOM JESUS DA LAPA,"25,8","447,8","13,3","43,4",4,2011,,,,,
BOM JESUS DA LAPA,"25,1","447,8","13,3","43,4",5,2011,,,,,
BOM JESUS DA LAPA,"24,9","447,8","13,3","43,4",6,2011,,,,,
BOM JESUS DA LAPA,"24,4","447,8","13,3","43,4",7,2011,,,,,
BOM JESUS DA LAPA,"26,4","447,8","13,3","43,4",8,2011,,,,,
BOM JESUS DA LAPA,"26,7","447,8","13,3","43,4",9,2011,,,,,
BOM JESUS DA LAPA,"27,5","447,8","13,3","43,4",10,2011,,,,,
BOM JESUS DA LAPA,"25,0","447,8","13,3","43,4",11,2011,,,,,
BOM JESUS DA LAPA,"25,9","447,8","13,3","43,4",12,2011,,,,,
BOM JESUS DA LAPA,"26,5","447,8","13,3","43,4",1,2012,,,,,
BOM JESUS DA LAPA,"26,8","447,8","13,3","43,4",2,2012,,,,,
BOM JESUS DA LAPA,"28,4","447,8","13,3","43,4",3,2012,,,,,
BOM JESUS DA LAPA,"28,7","447,8","13,3","43,4",4,2012,,,,,
BOM JESUS DA LAPA,"26,4","447,8","13,3","43,4",5,2012,,,,,
BOM JESUS DA LAPA,"26,1","447,8","13,3","43,4",6,2012,,,,,
BOM JESUS DA LAPA,"25,1","447,8","13,3","43,4",7,2012,,,,,
BOM JESUS DA LAPA,"25,0","447,8","13,3","43,4",8,2012,,,,,
BOM JESUS DA LAPA,"28,1","447,8","13,3","43,4",9,2012,,,,,
BOM JESUS DA LAPA,"29,5","447,8","13,3","43,4",10,2012,,,,,
BOM JESUS DA LAPA,"25,5","447,8","13,3","43,4",11,2012,,,,,
BOM JESUS DA LAPA,"28,5","447,8","13,3","43,4",12,2012,,,,,
BOM JESUS DA LAPA,"27,0","447,8","13,3","43,4",1,2013,,,,,
BOM JESUS DA LAPA,"29,0","447,8","13,3","43,4",2,2013,,,,,
BOM JESUS DA LAPA,"28,6","447,8","13,3","43,4",3,2013,,,,,
BOM JESUS DA LAPA,"26,6","447,8","13,3","43,4",4,2013,,,,,
BOM JESUS DA LAPA,"27,0","447,8","13,3","43,4",5,2013,,,,,
BOM JESUS DA LAPA,"26,0","447,8","13,3","43,4",6,2013,,,,,
BOM JESUS DA LAPA,"25,8","447,8","13,3","43,4",7,2013,,,,,
BOM JESUS DA LAPA,"26,3","447,8","13,3","43,4",8,2013,,,,,
BOM JESUS DA LAPA,"28,7","447,8","13,3","43,4",9,2013,,,,,
BOM JESUS DA LAPA,"28,6","447,8","13,3","43,4",10,2013,,,,,
BOM JESUS DA LAPA,"27,8","447,8","13,3","43,4",11,2013,,,,,
BOM JESUS DA LAPA,"25,4","447,8","13,3","43,4",12,2013,,,,,
BOM JESUS DA LAPA,"26,9","447,8","13,3","43,4",1,2014,,,,,
BOM JESUS DA LAPA,"27,4","447,8","13,3","43,4",2,2014,,,,,
BOM JESUS DA LAPA,"27,4","447,8","13,3","43,4",3,2014,,,,,
BOM JESUS DA LAPA,"27,7","447,8","13,3","43,4",4,2014,,,,,
BOM JESUS DA LAPA,"27,1","447,8","13,3","43,4",5,2014,,,,,
BOM JESUS DA LAPA,"25,6","447,8","13,3","43,4",6,2014,,,,,
BOM JESUS DA LAPA,"25,5","447,8","13,3","43,4",7,2014,,,,,
BOM JESUS DA LAPA,"26,2","447,8","13,3","43,4",8,2014,,,,,
BOM JESUS DA LAPA,"28,6","447,8","13,3","43,4",9,2014,,,,,
BOM JESUS DA LAPA,"28,8","447,8","13,3","43,4",10,2014,,,,,
BOM JESUS DA LAPA,"27,7","447,8","13,3","43,4",11,2014,,,,,
BOM JESUS DA LAPA,"26,4","447,8","13,3","43,4",12,2014,,,,,
BOM JESUS DA LAPA,"28,3","447,8","13,3","43,4",1,2015,,,,,
BOM JESUS DA LAPA,"26,9","447,8","13,3","43,4",2,2015,,,,,
BOM JESUS DA LAPA,"28,0","447,8","13,3","43,4",3,2015,,,,,
BOM JESUS DA LAPA,"27,3","447,8","13,3","43,4",4,2015,,,,,
BOM JESUS DA LAPA,"25,6","447,8","13,3","43,4",5,2015,,,,,
BOM JESUS DA LAPA,"25,3","447,8","13,3","43,4",6,2015,,,,,
BOM JESUS DA LAPA,"25,9","447,8","13,3","43,4",7,2015,,,,,
BOM JESUS DA LAPA,"26,2","447,8","13,3","43,4",8,2015,,,,,
BOM JESUS DA LAPA,"29,9","447,8","13,3","43,4",9,2015,,,,,
BOM JESUS DA LAPA,"30,8","447,8","13,3","43,4",10,2015,,,,,
BOM JESUS DA LAPA,"30,4","447,8","13,3","43,4",11,2015,,,,,
BOM JESUS DA LAPA,"30,3","447,8","13,3","43,4",12,2015,,,,,
BOM JESUS DA LAPA,"26,0","447,8","13,3","43,4",1,2016,,,,,
BOM JESUS DA LAPA,"27,9","447,8","13,3","43,4",2,2016,,,,,
BOM JESUS DA LAPA,"29,1","447,8","13,3","43,4",3,2016,,,,,
BOM JESUS DA LAPA,"29,1","447,8","13,3","43,4",4,2016,,,,,
BOM JESUS DA LAPA,"27,5","447,8","13,3","43,4",5,2016,,,,,
BOM JESUS DA LAPA,"26,4","447,8","13,3","43,4",6,2016,,,,,
BOM JESUS DA LAPA,"25,7","447,8","13,3","43,4",7,2016,,,,,
BOM JESUS DA LAPA,"27,6","447,8","13,3","43,4",8,2016,,,,,
BOM JESUS DA LAPA,"28,3","447,8","13,3","43,4",9,2016,,,,,
BOM JESUS DA LAPA,"29,6","447,8","13,3","43,4",10,2016,,,,,
BOM JESUS DA LAPA,"28,5","447,8","13,3","43,4",11,2016,,,,,
BOM JESUS DA LAPA,"27,6","447,8","13,3","43,4",12,2016,,,,,
BOM JESUS DA LAPA,"29,8","447,8","13,3","43,4",1,2017,,,,,
BOM JESUS DA LAPA,"27,3","447,8","13,3","43,4",2,2017,,,,,
BOM JESUS DA LAPA,"28,7","447,8","13,3","43,4",3,2017,,,,,
BOM JESUS DA LAPA,"27,6","447,8","13,3","43,4",4,2017,,,,,
BOM JESUS DA LAPA,"27,3","447,8","13,3","43,4",5,2017,,,,,
BOM JESUS DA LAPA,"26,1","447,8","13,3","43,4",6,2017,,,,,
BOM JESUS DA LAPA,"23,5","447,8","13,3","43,4",7,2017,,,,,
BOM JESUS DA LAPA,"25,9","447,8","13,3","43,4",8,2017,,,,,
BOM JESUS DA LAPA,"27,1","447,8","13,3","43,4",9,2017,,,,,
BOM JESUS DA LAPA,"30,4","447,8","13,3","43,4",10,2017,,,,,
BOM JESUS DA LAPA,"27,7","447,8","13,3","43,4",11,2017,,,,,
BOM JESUS DA LAPA,"27,2","447,8","13,3","43,4",12,2017,,,,,
BOM JESUS DA LAPA,"28,1","447,8","13,3","43,4",1,2018,,,,,
BOM JESUS DA LAPA,"26,6","447,8","13,3","43,4",2,2018,,,,,
BOM JESUS DA LAPA,"26,8","447,8","13,3","43,4",3,2018,,,,,
BOM JESUS DA LAPA,"26,7","447,8","13,3","43,4",4,2018,,,,,
BOM JESUS DA LAPA,"26,8","447,8","13,3","43,4",5,2018,,,,,
BOM JESUS DA LAPA,"25,9","447,8","13,3","43,4",6,2018,,,,,
BOM JESUS DA LAPA,"25,1","447,8","13,3","43,4",7,2018,,,,,
BOM JESUS DA LAPA,"27,7","447,8","13,3","43,4",8,2018,,,,,
BOM JESUS DA LAPA,"29,5","447,8","13,3","43,4",9,2018,,,,,
BOM JESUS DA LAPA,"30,3","447,8","13,3","43,4",10,2018,,,,,
BOM JESUS DA LAPA,"27,5","447,8","13,3","43,4",11,2018,,,,,
BOM JESUS DA LAPA,"26,1","447,8","13,3","43,4",12,2018,,,,,
BOM JESUS DA LAPA,"29,3","447,8","13,3","43,4",1,2019,,,,,
BOM JESUS DA LAPA,"28,4","447,8","13,3","43,4",2,2019,,,,,
BOM JESUS DA LAPA,"28,3","447,8","13,3","43,4",3,2019,,,,,
BOM JESUS DA LAPA,"27,8","447,8","13,3","43,4",4,2019,,,,,
BOM JESUS DA LAPA,"27,9","447,8","13,3","43,4",5,2019,,,,,
BOM JESUS DA LAPA,"26,2","447,8","13,3","43,4",6,2019,,,,,
BOM JESUS DA LAPA,"25,3","447,8","13,3","43,4",7,2019,,,,,
BOM JESUS DA LAPA,"26,4","447,8","13,3","43,4",8,2019,,,,,
BOM JESUS DA LAPA,"28,9","447,8","13,3","43,4",9,2019,,,,,
BOM JESUS DA LAPA,"30,3","447,8","13,3","43,4",10,2019,,,,,
BOM JESUS DA LAPA,"30,5","447,8","13,3","43,4",11,2019,,,,,
BOM JESUS DA LAPA,"30,2","447,8","13,3","43,4",12,2019,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",1,1999,,,,,
CAITITÉ,"23,5","876,3","14,1","42,5",2,1999,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",3,1999,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",4,1999,,,,,
CAITITÉ,"21,2","876,3","14,1","42,5",5,1999,,,,,
CAITITÉ,"20,5","876,3","14,1","42,5",6,1999,,,,,
CAITITÉ,"19,2","876,3","14,1","42,5",7,1999,,,,,
CAITITÉ,"19,4","876,3","14,1","42,5",8,1999,,,,,
CAITITÉ,"21,1","876,3","14,1","42,5",9,1999,,,,,
CAITITÉ,"21,7","876,3","14,1","42,5",10,1999,,,,,
CAITITÉ,"21,1","876,3","14,1","42,5",11,1999,,,,,
CAITITÉ,"21,4","876,3","14,1","42,5",12,1999,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",1,2000,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",2,2000,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",3,2000,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",4,2000,,,,,
CAITITÉ,"21,7","876,3","14,1","42,5",5,2000,,,,,
CAITITÉ,"20,5","876,3","14,1","42,5",6,2000,,,,,
CAITITÉ,"19,5","876,3","14,1","42,5",7,2000,,,,,
CAITITÉ,"19,5","876,3","14,1","42,5",8,2000,,,,,
CAITITÉ,"21,3","876,3","14,1","42,5",9,2000,,,,,
CAITITÉ,"24,2","876,3","14,1","42,5",10,2000,,,,,
CAITITÉ,"22,5","876,3","14,1","42,5",11,2000,,,,,
CAITITÉ,"21,9","876,3","14,1","42,5",12,2000,,,,,
CAITITÉ,"21,8","876,3","14,1","42,5",1,2001,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",2,2001,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",3,2001,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",4,2001,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",5,2001,,,,,
CAITITÉ,"20,1","876,3","14,1","42,5",6,2001,,,,,
CAITITÉ,"19,9","876,3","14,1","42,5",7,2001,,,,,
CAITITÉ,"19,6","876,3","14,1","42,5",8,2001,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",9,2001,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",10,2001,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",11,2001,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",12,2001,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",1,2002,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",2,2002,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",3,2002,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",4,2002,,,,,
CAITITÉ,"21,5","876,3","14,1","42,5",5,2002,,,,,
CAITITÉ,"20,1","876,3","14,1","42,5",6,2002,,,,,
CAITITÉ,"20,4","876,3","14,1","42,5",7,2002,,,,,
CAITITÉ,"20,7","876,3","14,1","42,5",8,2002,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",9,2002,,,,,
CAITITÉ,"23,5","876,3","14,1","42,5",10,2002,,,,,
CAITITÉ,"23,4","876,3","14,1","42,5",11,2002,,,,,
CAITITÉ,"24,1","876,3","14,1","42,5",12,2002,,,,,
CAITITÉ,"23,2","876,3","14,1","42,5",1,2003,,,,,
CAITITÉ,"23,7","876,3","14,1","42,5",2,2003,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",3,2003,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",4,2003,,,,,
CAITITÉ,"21,9","876,3","14,1","42,5",5,2003,,,,,
CAITITÉ,"20,5","876,3","14,1","42,5",6,2003,,,,,
CAITITÉ,"19,5","876,3","14,1","42,5",7,2003,,,,,
CAITITÉ,"20,7","876,3","14,1","42,5",8,2003,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",9,2003,,,,,
CAITITÉ,"23,6","876,3","14,1","42,5",10,2003,,,,,
CAITITÉ,"23,7","876,3","14,1","42,5",11,2003,,,,,
CAITITÉ,"24,8","876,3","14,1","42,5",12,2003,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",1,2004,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",2,2004,,,,,
CAITITÉ,"21,2","876,3","14,1","42,5",3,2004,,,,,
CAITITÉ,"21,4","876,3","14,1","42,5",4,2004,,,,,
CAITITÉ,"20,9","876,3","14,1","42,5",5,2004,,,,,
CAITITÉ,"19,3","876,3","14,1","42,5",6,2004,,,,,
CAITITÉ,"18,5","876,3","14,1","42,5",7,2004,,,,,
CAITITÉ,"20,4","876,3","14,1","42,5",8,2004,,,,,
CAITITÉ,"21,6","876,3","14,1","42,5",9,2004,,,,,
CAITITÉ,"23,1","876,3","14,1","42,5",10,2004,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",11,2004,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",12,2004,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",1,2005,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",2,2005,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",3,2005,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",4,2005,,,,,
CAITITÉ,"21,0","876,3","14,1","42,5",5,2005,,,,,
CAITITÉ,"19,7","876,3","14,1","42,5",6,2005,,,,,
CAITITÉ,"19,1","876,3","14,1","42,5",7,2005,,,,,
CAITITÉ,"20,4","876,3","14,1","42,5",8,2005,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",9,2005,,,,,
CAITITÉ,"24,1","876,3","14,1","42,5",10,2005,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",11,2005,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",12,2005,,,,,
CAITITÉ,"23,7","876,3","14,1","42,5",1,2006,,,,,
CAITITÉ,"25,2","876,3","14,1","42,5",2,2006,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",3,2006,,,,,
CAITITÉ,"21,5","876,3","14,1","42,5",4,2006,,,,,
CAITITÉ,"19,9","876,3","14,1","42,5",5,2006,,,,,
CAITITÉ,"18,5","876,3","14,1","42,5",6,2006,,,,,
CAITITÉ,"18,9","876,3","14,1","42,5",7,2006,,,,,
CAITITÉ,"20,7","876,3","14,1","42,5",8,2006,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",9,2006,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",10,2006,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",11,2006,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",12,2006,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",1,2007,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",2,2007,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",3,2007,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",4,2007,,,,,
CAITITÉ,"21,5","876,3","14,1","42,5",5,2007,,,,,
CAITITÉ,"20,0","876,3","14,1","42,5",6,2007,,,,,
CAITITÉ,"20,1","876,3","14,1","42,5",7,2007,,,,,
CAITITÉ,"19,9","876,3","14,1","42,5",8,2007,,,,,
CAITITÉ,"21,3","876,3","14,1","42,5",9,2007,,,,,
CAITITÉ,"23,6","876,3","14,1","42,5",10,2007,,,,,
CAITITÉ,"24,4","876,3","14,1","42,5",11,2007,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",12,2007,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",1,2008,,,,,
CAITITÉ,"23,5","876,3","14,1","42,5",2,2008,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",3,2008,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",4,2008,,,,,
CAITITÉ,"21,7","876,3","14,1","42,5",5,2008,,,,,
CAITITÉ,"19,8","876,3","14,1","42,5",6,2008,,,,,
CAITITÉ,"19,0","876,3","14,1","42,5",7,2008,,,,,
CAITITÉ,"20,8","876,3","14,1","42,5",8,2008,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",9,2008,,,,,
CAITITÉ,"24,1","876,3","14,1","42,5",10,2008,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",11,2008,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",12,2008,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",1,2009,,,,,
CAITITÉ,"23,9","876,3","14,1","42,5",2,2009,,,,,
CAITITÉ,"24,4","876,3","14,1","42,5",3,2009,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",4,2009,,,,,
CAITITÉ,"20,3","876,3","14,1","42,5",5,2009,,,,,
CAITITÉ,"19,9","876,3","14,1","42,5",6,2009,,,,,
CAITITÉ,"20,1","876,3","14,1","42,5",7,2009,,,,,
CAITITÉ,"21,0","876,3","14,1","42,5",8,2009,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",9,2009,,,,,
CAITITÉ,"23,7","876,3","14,1","42,5",10,2009,,,,,
CAITITÉ,"23,8","876,3","14,1","42,5",11,2009,,,,,
CAITITÉ,"23,6","876,3","14,1","42,5",12,2009,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",1,2010,,,,,
CAITITÉ,"24,5","876,3","14,1","42,5",2,2010,,,,,
CAITITÉ,"23,5","876,3","14,1","42,5",3,2010,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",4,2010,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",5,2010,,,,,
CAITITÉ,"20,4","876,3","14,1","42,5",6,2010,,,,,
CAITITÉ,"19,7","876,3","14,1","42,5",7,2010,,,,,
CAITITÉ,"19,9","876,3","14,1","42,5",8,2010,,,,,
CAITITÉ,"21,8","876,3","14,1","42,5",9,2010,,,,,
CAITITÉ,"24,9","876,3","14,1","42,5",10,2010,,,,,
CAITITÉ,"23,4","876,3","14,1","42,5",11,2010,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",12,2010,,,,,
CAITITÉ,"23,1","876,3","14,1","42,5",1,2011,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",2,2011,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",3,2011,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",4,2011,,,,,
CAITITÉ,"21,1","876,3","14,1","42,5",5,2011,,,,,
CAITITÉ,"20,9","876,3","14,1","42,5",6,2011,,,,,
CAITITÉ,"19,9","876,3","14,1","42,5",7,2011,,,,,
CAITITÉ,"21,5","876,3","14,1","42,5",8,2011,,,,,
CAITITÉ,"21,2","876,3","14,1","42,5",9,2011,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",10,2011,,,,,
CAITITÉ,"21,3","876,3","14,1","42,5",11,2011,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",12,2011,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",1,2012,,,,,
CAITITÉ,"23,1","876,3","14,1","42,5",2,2012,,,,,
CAITITÉ,"24,3","876,3","14,1","42,5",3,2012,,,,,
CAITITÉ,"24,6","876,3","14,1","42,5",4,2012,,,,,
CAITITÉ,"21,9","876,3","14,1","42,5",5,2012,,,,,
CAITITÉ,"21,5","876,3","14,1","42,5",6,2012,,,,,
CAITITÉ,"20,4","876,3","14,1","42,5",7,2012,,,,,
CAITITÉ,"19,7","876,3","14,1","42,5",8,2012,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",9,2012,,,,,
CAITITÉ,"24,1","876,3","14,1","42,5",10,2012,,,,,
CAITITÉ,"22,2","876,3","14,1","42,5",11,2012,,,,,
CAITITÉ,"24,7","876,3","14,1","42,5",12,2012,,,,,
CAITITÉ,"23,9","876,3","14,1","42,5",1,2013,,,,,
CAITITÉ,"24,1","876,3","14,1","42,5",2,2013,,,,,
CAITITÉ,"25,1","876,3","14,1","42,5",3,2013,,,,,
CAITITÉ,"24,1","876,3","14,1","42,5",4,2013,,,,,
CAITITÉ,"22,5","876,3","14,1","42,5",5,2013,,,,,
CAITITÉ,"21,4","876,3","14,1","42,5",6,2013,,,,,
CAITITÉ,"20,5","876,3","14,1","42,5",7,2013,,,,,
CAITITÉ,"20,9","876,3","14,1","42,5",8,2013,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",9,2013,,,,,
CAITITÉ,"23,4","876,3","14,1","42,5",10,2013,,,,,
CAITITÉ,"24,0","876,3","14,1","42,5",11,2013,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",12,2013,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",1,2014,,,,,
CAITITÉ,"23,2","876,3","14,1","42,5",2,2014,,,,,
CAITITÉ,"23,9","876,3","14,1","42,5",3,2014,,,,,
CAITITÉ,"23,6","876,3","14,1","42,5",4,2014,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",5,2014,,,,,
CAITITÉ,"20,9","876,3","14,1","42,5",6,2014,,,,,
CAITITÉ,"20,2","876,3","14,1","42,5",7,2014,,,,,
CAITITÉ,"20,9","876,3","14,1","42,5",8,2014,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",9,2014,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",10,2014,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",11,2014,,,,,
CAITITÉ,"22,5","876,3","14,1","42,5",12,2014,,,,,
CAITITÉ,"23,9","876,3","14,1","42,5",1,2015,,,,,
CAITITÉ,"23,5","876,3","14,1","42,5",2,2015,,,,,
CAITITÉ,"23,4","876,3","14,1","42,5",3,2015,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",4,2015,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",5,2015,,,,,
CAITITÉ,"21,3","876,3","14,1","42,5",6,2015,,,,,
CAITITÉ,"21,0","876,3","14,1","42,5",7,2015,,,,,
CAITITÉ,"21,5","876,3","14,1","42,5",8,2015,,,,,
CAITITÉ,"22,2","876,3","14,1","42,5",9,2015,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",10,2015,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",11,2015,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",12,2015,,,,,
CAITITÉ,"23,7","876,3","14,1","42,5",1,2016,,,,,
CAITITÉ,"23,6","876,3","14,1","42,5",2,2016,,,,,
CAITITÉ,"23,2","876,3","14,1","42,5",3,2016,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",4,2016,,,,,
CAITITÉ,"22,2","876,3","14,1","42,5",5,2016,,,,,
CAITITÉ,"21,8","876,3","14,1","42,5",6,2016,,,,,
CAITITÉ,"21,4","876,3","14,1","42,5",7,2016,,,,,
CAITITÉ,"21,7","876,3","14,1","42,5",8,2016,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",9,2016,,,,,
CAITITÉ,"22,4","876,3","14,1","42,5",10,2016,,,,,
CAITITÉ,"21,9","876,3","14,1","42,5",11,2016,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",12,2016,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",1,2017,,,,,
CAITITÉ,"23,2","876,3","14,1","42,5",2,2017,,,,,
CAITITÉ,"23,0","876,3","14,1","42,5",3,2017,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",4,2017,,,,,
CAITITÉ,"22,5","876,3","14,1","42,5",5,2017,,,,,
CAITITÉ,"21,9","876,3","14,1","42,5",6,2017,,,,,
CAITITÉ,"21,8","876,3","14,1","42,5",7,2017,,,,,
CAITITÉ,"21,9","876,3","14,1","42,5",8,2017,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",9,2017,,,,,
CAITITÉ,"22,2","876,3","14,1","42,5",10,2017,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",11,2017,,,,,
CAITITÉ,"21,7","876,3","14,1","42,5",12,2017,,,,,
CAITITÉ,"23,1","876,3","14,1","42,5",1,2018,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",2,2018,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",3,2018,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",4,2018,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",5,2018,,,,,
CAITITÉ,"22,5","876,3","14,1","42,5",6,2018,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",7,2018,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",8,2018,,,,,
CAITITÉ,"22,1","876,3","14,1","42,5",9,2018,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",10,2018,,,,,
CAITITÉ,"22,0","876,3","14,1","42,5",11,2018,,,,,
CAITITÉ,"21,7","876,3","14,1","42,5",12,2018,,,,,
CAITITÉ,"23,3","876,3","14,1","42,5",1,2019,,,,,
CAITITÉ,"22,6","876,3","14,1","42,5",2,2019,,,,,
CAITITÉ,"22,7","876,3","14,1","42,5",3,2019,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",4,2019,,,,,
CAITITÉ,"22,9","876,3","14,1","42,5",5,2019,,,,,
CAITITÉ,"22,8","876,3","14,1","42,5",6,2019,,,,,
CAITITÉ,"22,3","876,3","14,1","42,5",7,2019,,,,,
CAITITÉ,"22,2","876,3","14,1","42,5",8,2019,,,,,
